               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10681,            0.012322,            0.072222,           0.0022747,                 0.1,           0.0016113,          0.00022852,             0.12055,           0.0089728,            0.078587,              0.0973,              0.0003,              0.0003
                   1,             0.10823,            0.015669,            0.076309,           0.0079208,                0.38,           0.0086803,           0.0013224,            0.098873,            0.010122,            0.067237,            0.093699,          0.00069861,          0.00069861
                   2,               0.102,            0.018852,            0.074933,            0.014878,                0.78,            0.040912,             0.00943,            0.081646,            0.011804,            0.061731,            0.090096,           0.0010956,           0.0010956
                   3,            0.096051,            0.019374,            0.065574,            0.016212,                   1,            0.062366,            0.015622,            0.073781,            0.012634,            0.052189,            0.086491,           0.0014911,           0.0014911
                   4,            0.092432,            0.020633,            0.059871,             0.03441,                0.92,             0.10739,            0.027619,            0.070403,            0.013104,            0.046433,            0.082885,            0.001885,            0.001885
                   5,            0.085276,            0.024744,            0.055329,             0.09608,                0.46,             0.13918,            0.042039,            0.065893,            0.013496,            0.041765,            0.079277,           0.0022772,           0.0022772
                   6,            0.080463,            0.020859,            0.046549,              0.2831,                 0.4,             0.23776,            0.076387,            0.067724,            0.012981,            0.040784,            0.075668,           0.0026679,           0.0026679
                   7,            0.076716,            0.022214,            0.042395,             0.41486,             0.45314,             0.40253,             0.10978,            0.071901,            0.012259,             0.03946,            0.072057,            0.003057,            0.003057
                   8,            0.075173,            0.019057,            0.036904,             0.32118,                0.48,             0.31954,             0.10774,            0.074446,            0.010651,            0.036641,            0.068445,           0.0034446,           0.0034446
                   9,            0.071365,            0.017643,            0.031376,              0.1862,                0.66,             0.23388,            0.087174,            0.072044,            0.010796,            0.032218,            0.064831,           0.0038305,           0.0038305
                  10,            0.072318,             0.02259,            0.031777,              0.4593,             0.74371,             0.56555,             0.22016,            0.077343,            0.010729,            0.027454,            0.061215,           0.0042149,           0.0042149
                  11,            0.075561,            0.019808,             0.02598,              0.1374,                 0.9,             0.22528,            0.074732,            0.072422,            0.011717,            0.027615,            0.057598,           0.0045976,           0.0045976
                  12,            0.071833,            0.017774,            0.023879,             0.44132,                0.74,             0.56931,             0.20053,            0.069024,            0.011629,            0.022454,            0.053979,           0.0049788,           0.0049788
                  13,            0.065698,            0.018698,            0.019737,             0.58647,                0.78,             0.68906,             0.23332,            0.067392,            0.011508,            0.021415,            0.050358,           0.0053584,           0.0053584
                  14,            0.064277,            0.016454,            0.018236,             0.72478,             0.75744,             0.74584,             0.19994,            0.065724,            0.012241,            0.014992,            0.046736,           0.0057365,           0.0057365
                  15,            0.072927,            0.014055,            0.017281,              0.5518,             0.69957,             0.67433,             0.20245,            0.077744,             0.01206,            0.011926,            0.043113,           0.0061129,           0.0061129
                  16,            0.069184,            0.018932,            0.015482,             0.69308,                 0.8,             0.83137,              0.3019,              0.0624,            0.011768,             0.01078,            0.039488,           0.0064877,           0.0064877
                  17,             0.07472,            0.014118,            0.013625,              0.3634,                 0.7,              0.3704,            0.097486,            0.073468,            0.010681,           0.0089665,            0.035861,            0.006861,            0.006861
                  18,            0.076388,            0.013455,            0.013416,             0.24387,               0.674,             0.25467,            0.091307,            0.077692,            0.011147,           0.0085688,            0.032233,           0.0072327,           0.0072327
                  19,            0.077102,            0.014571,             0.01361,             0.35045,                 0.6,             0.40638,             0.12094,            0.071508,            0.010885,           0.0079605,            0.028603,           0.0076028,           0.0076028
                  20,            0.070298,            0.013974,            0.011055,             0.22571,                0.52,             0.35638,             0.12613,            0.076611,           0.0097679,           0.0068181,            0.024971,           0.0079713,           0.0079713
                  21,            0.075226,            0.014545,             0.01291,             0.42915,             0.46856,             0.57032,              0.1571,            0.067862,           0.0094374,           0.0065641,            0.021338,           0.0083383,           0.0083383
                  22,            0.068218,            0.013457,           0.0099888,              0.1851,                 0.7,             0.25439,            0.098228,            0.080941,           0.0084755,           0.0059997,            0.017704,           0.0087036,           0.0087036
                  23,            0.079832,            0.013444,            0.010297,             0.55492,             0.47226,              0.5459,              0.1579,            0.066454,           0.0085781,           0.0057384,            0.014067,           0.0090674,           0.0090674
                  24,            0.072573,            0.012091,           0.0090534,             0.23665,                0.84,              0.2668,            0.090486,            0.092655,            0.007485,           0.0053984,             0.01043,           0.0094296,           0.0094296
                  25,             0.08566,            0.012684,           0.0094173,             0.25458,             0.51007,             0.38408,            0.098721,            0.075389,            0.007225,           0.0053764,            0.009505,            0.009505,            0.009505
                  26,            0.071507,            0.012002,           0.0093056,              0.2971,                0.68,             0.36679,            0.078128,            0.082789,           0.0071376,           0.0056079,            0.009505,            0.009505,            0.009505
                  27,            0.087687,            0.012008,           0.0097776,             0.39421,                0.72,             0.53969,             0.20234,            0.063341,           0.0068419,           0.0055259,           0.0094852,           0.0094852,           0.0094852
                  28,            0.075798,            0.015038,           0.0097075,             0.35689,                0.92,              0.5301,             0.18033,              0.0906,           0.0064975,           0.0052496,           0.0094654,           0.0094654,           0.0094654
                  29,            0.082452,             0.01486,           0.0091818,             0.43699,                 0.8,             0.54942,             0.22146,            0.071333,           0.0072816,           0.0055273,           0.0094456,           0.0094456,           0.0094456
                  30,            0.077681,            0.013886,           0.0093277,             0.55657,             0.90942,             0.65204,             0.20217,            0.064121,           0.0072785,           0.0055534,           0.0094258,           0.0094258,           0.0094258
                  31,            0.071286,            0.013741,            0.011265,             0.46824,                 0.8,             0.53427,             0.20514,            0.080834,           0.0078246,           0.0056467,            0.009406,            0.009406,            0.009406
                  32,            0.073646,            0.016506,           0.0097069,             0.76613,             0.83472,             0.79969,             0.31667,            0.056371,           0.0072122,           0.0056169,           0.0093862,           0.0093862,           0.0093862
                  33,            0.059852,            0.014152,           0.0092143,             0.89625,             0.77172,              0.8627,             0.34124,            0.060063,           0.0073092,           0.0049429,           0.0093664,           0.0093664,           0.0093664
                  34,            0.062565,            0.013355,           0.0095309,             0.48488,                0.74,             0.65721,             0.23836,            0.060156,           0.0071428,           0.0046277,           0.0093466,           0.0093466,           0.0093466
                  35,            0.068244,             0.01325,           0.0072295,             0.76459,             0.89399,             0.90232,              0.3133,            0.061544,           0.0075965,           0.0044316,           0.0093268,           0.0093268,           0.0093268
                  36,            0.066143,            0.011783,           0.0075405,             0.87139,             0.87934,             0.95976,             0.46434,            0.043945,            0.007435,           0.0047007,            0.009307,            0.009307,            0.009307
                  37,            0.055504,            0.014864,           0.0088708,             0.43438,             0.81026,             0.61651,             0.22869,              0.0573,           0.0074592,           0.0042319,           0.0092872,           0.0092872,           0.0092872
                  38,             0.06048,            0.011577,           0.0068429,             0.68587,                0.86,             0.83249,             0.29272,            0.053855,           0.0069576,           0.0043184,           0.0092674,           0.0092674,           0.0092674
                  39,            0.054673,            0.014845,           0.0066347,             0.45372,                0.92,             0.61535,             0.26519,            0.053753,           0.0073676,           0.0040224,           0.0092476,           0.0092476,           0.0092476
                  40,             0.05622,            0.011601,           0.0067255,             0.70822,                0.98,             0.87143,             0.29431,            0.047663,           0.0070693,            0.003829,           0.0092278,           0.0092278,           0.0092278
                  41,            0.047449,             0.01148,           0.0059744,             0.62655,                   1,             0.89454,             0.40897,            0.056086,           0.0071261,           0.0039094,            0.009208,            0.009208,            0.009208
                  42,            0.055054,            0.011767,           0.0065915,             0.46448,             0.95874,             0.59928,             0.21445,            0.061131,           0.0068186,           0.0039166,           0.0091882,           0.0091882,           0.0091882
